host_since,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial,resp_rate
2012,4,2,2,2,NA,327,1380,4872,150,90,3,85,52,Yes,100
2012,8,1.5,4,4,2200,300,NA,NA,300,100,4,1125,0,No,NA
2009,4,1,1,1,NA,169,NA,NA,NA,70,3,90,27,Yes,100
2009,2,1,1,1,NA,149,NA,NA,NA,40,3,30,31,Yes,100
2012,2,1,1,1,NA,125,900,3100,NA,45,1,90,12,Yes,100
2012,4,2,1,2,NA,275,NA,NA,500,100,2,6,31,No,100
2012,4,1,1,1,NA,95,488,1722,NA,NA,5,35,0,No,NA
2012,2,1,1,2,NA,79,469,1369,100,30,3,1125,0,Yes,100
2012,1,1,1,1,NA,49,359,1099,100,30,3,1125,57,Yes,100
2011,7,1,2,4,NA,299,NA,NA,100,20,2,6,41,No,100
2012,7,1,3,3,NA,239,NA,NA,250,100,4,1000,11,No,100
2012,1,1,1,1,NA,150,875,3500,NA,150,21,365,64,No,100
2013,4,1,1,2,NA,125,920,3800,200,50,2,30,13,No,100
2012,3,1.5,1,2,NA,185,1300,3400,500,125,2,365,37,Yes,100
2013,2,1.5,1,1,NA,90,625,NA,0,15,2,1124,6,No,100
2012,2,1,1,1,NA,125,900,3100,NA,45,1,1125,7,Yes,100
2013,6,2,3,3,NA,250,NA,NA,250,90,4,14,86,No,33
2009,4,2,2,2,NA,519,NA,NA,NA,150,3,1125,89,Yes,76
2012,8,1,3,4,NA,275,NA,6750,300,100,3,1125,0,No,NA
2012,3,1,1,1,NA,119,740,2550,150,50,3,1125,29,No,100
2013,2,1,0,1,NA,170,NA,3200,400,225,60,1120,12,Yes,100
2012,2,1,1,1,NA,157,NA,NA,100,45,3,90,36,Yes,100
2011,2,1,1,1,NA,120,NA,NA,0,95,2,14,48,No,100
2013,2,1,1,1,NA,107,550,1500,100,25,1,1125,7,No,100
2010,1,1,1,1,NA,140,825,2800,0,21,1,1125,64,Yes,100
2013,3,1,2,2,NA,170,1250,NA,185,60,2,30,74,No,100
2012,3,1,1,1,NA,125,700,2500,NA,NA,2,1125,0,No,35
2012,2,1,1,1,NA,80,NA,NA,0,0,1,6,49,No,100
2011,2,1,1,1,NA,85,635,NA,0,40,3,1124,7,No,100
2011,2,1,1,1,NA,90,964,3250,150,40,2,180,30,Yes,100
2011,2,1,0,1,NA,165,1100,3600,200,95,4,180,0,No,90
2013,2,1,NA,1,NA,176,1056,3500,NA,NA,1,1125,0,No,NA
2012,2,1,1,1,NA,70,600,1500,150,NA,5,1125,38,No,80
2012,1,1,1,1,NA,106,1000,4000,500,60,3,365,31,No,100
2012,1,1,1,1,NA,99,650,2200,500,60,3,365,33,No,100
2009,2,2,1,1,1200,95,1100,3100,1000,150,5,1125,37,Yes,100
2013,2,1,1,1,NA,125,800,2100,250,60,4,15,23,No,100
2011,8,2,4,6,NA,439,2699,7999,400,150,2,90,42,No,100
2013,4,1,2,2,NA,250,NA,4000,NA,50,2,1125,83,No,33
2013,2,2,1,1,NA,61,530,1869,NA,10,1,1125,13,Yes,98
2013,2,2,1,2,NA,65,476,1680,NA,NA,1,1125,48,Yes,98
2011,2,1,1,1,NA,91,NA,NA,NA,25,2,60,61,No,100
2013,2,2,1,1,NA,60,NA,1200,NA,10,1,1125,53,Yes,98
2011,2,1,1,1,NA,60,NA,NA,NA,NA,1,10,0,Yes,NA
2011,2,1.5,1,1,NA,115,575,2500,NA,NA,1,28,75,No,100
2009,4,2,2,2,NA,309,NA,9500,NA,150,30,365,90,Yes,76
