host_since,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial,resp_rate
2012,2,1,1,1,NA,100,NA,NA,NA,20,1,2,0,No,NA
2014,4,2,2,2,NA,129,NA,NA,400,110,2,1124,67,Yes,99
2016,2,1,0,1,NA,79,NA,NA,0,60,3,1125,45,Yes,100
2017,4,1,2,3,NA,135,NA,NA,0,0,2,1125,2,No,100
2017,8,1,2,4,NA,180,NA,NA,0,125,2,1125,0,No,100
2011,4,1,1,1,NA,133,NA,NA,500,105,2,1124,1,Yes,100
2014,4,1,1,1,NA,150,NA,NA,0,100,180,720,45,No,NA
2017,2,1,1,1,NA,60,NA,NA,0,0,1,1125,80,Yes,94
2011,5,1,2,3,NA,137,NA,NA,0,40,1,1125,56,Yes,99
2014,2,1,1,1,NA,90,NA,NA,NA,NA,1,1125,0,No,NA
2016,5,1,2,2,NA,349,NA,NA,NA,120,2,1125,79,No,100
2016,2,1,1,1,NA,95,NA,NA,100,30,1,30,48,No,100
2015,14,3.5,5,10,NA,600,NA,NA,1000,160,2,28,44,Yes,96
2017,2,1,1,1,NA,60,NA,NA,0,0,1,1125,80,Yes,94
2017,2,1,1,1,NA,60,NA,NA,0,0,1,1125,79,Yes,94
2017,2,1,1,1,NA,60,NA,NA,0,0,1,1125,81,Yes,94
2014,2,1,1,1,NA,109,NA,NA,400,77,2,1124,72,Yes,99
2014,2,1,1,1,NA,99,NA,NA,0,0,2,1125,51,Yes,98
2015,5,1,2,3,NA,250,NA,NA,NA,50,3,1125,0,No,NA
2017,2,1,1,1,NA,90,NA,NA,NA,NA,1,1125,0,No,NA
2015,5,2,2,2,NA,350,NA,NA,NA,50,2,1125,1,No,NA
2014,3,1,1,1,NA,279,NA,NA,NA,NA,5,1120,26,Yes,83
2016,5,1,2,3,NA,199,NA,NA,0,155,2,300,58,Yes,100
2016,4,2,1,2,NA,75,NA,NA,180,60,1,360,67,Yes,100
2016,8,2,4,6,NA,200,NA,NA,200,150,2,180,0,Yes,100
2015,4,1,2,4,NA,100,NA,NA,NA,NA,1,6,0,No,NA
2017,4,1,1,1,NA,125,NA,NA,100,25,1,365,0,No,NA
2016,4,1,1,2,NA,99,NA,NA,0,35,2,365,0,Yes,NA
2015,4,1,2,3,NA,127,NA,NA,NA,60,2,21,0,No,NA
2016,5,2,2,2,NA,299,NA,NA,NA,100,3,1125,81,Yes,88
2016,5,1,1,3,NA,99,NA,NA,100,80,1,1124,74,No,100
2016,2,2,1,1,NA,75,NA,NA,0,10,1,7,30,Yes,100
2017,4,1,2,2,NA,92,NA,NA,200,50,2,1125,0,No,NA
2017,2,1,2,2,NA,50,NA,NA,NA,NA,1,2,0,No,NA
2014,3,1,1,2,NA,130,NA,NA,200,35,1,1125,4,Yes,100
2013,5,1,2,2,NA,121,NA,NA,0,0,5,1125,0,No,92
2016,2,2,1,1,NA,75,NA,NA,0,10,1,7,26,Yes,100
2013,4,1,2,1,NA,350,NA,NA,NA,NA,1,1125,0,No,NA
2017,4,2,2,2,NA,95,NA,NA,NA,28,30,1125,77,No,100
2015,3,1,1,2,NA,159,NA,NA,NA,50,1,42,2,No,90
2016,1,2,1,1,NA,75,NA,NA,0,10,1,7,74,Yes,100
2016,2,2,1,2,NA,75,NA,NA,0,10,1,7,39,Yes,100
2014,3,1,1,2,NA,75,NA,NA,100,0,2,1125,30,Yes,98
2015,6,1,2,3,NA,290,NA,NA,0,85,2,1124,80,Yes,100
2012,1,1,1,1,NA,200,NA,NA,NA,NA,1,5,0,No,NA
2009,3,1,1,2,NA,89,NA,NA,0,28,2,1125,9,No,100
2014,2,1,0,1,NA,220,NA,NA,300,55,1,1125,0,Yes,91
2017,2,1,1,1,NA,100,NA,NA,0,0,1,3,0,No,NA
2017,8,1,3,5,NA,173,NA,NA,150,70,2,150,29,No,100
2014,4,2,1,2,NA,99,NA,NA,0,0,1,1125,0,Yes,100
2014,2,2,1,2,NA,99,NA,NA,0,0,1,1125,2,Yes,100
2014,2,2,1,1,NA,99,NA,NA,0,0,1,1125,0,Yes,100
2014,3,2,1,3,NA,99,NA,NA,0,0,1,1125,0,Yes,100
2015,1,1,1,1,NA,50,NA,NA,0,25,3,30,0,No,NA
2014,2,2,1,2,NA,99,NA,NA,0,0,1,1125,1,Yes,100
2014,16,2,5,12,NA,500,NA,NA,1000,250,1,1125,6,Yes,100
2016,1,2,1,1,NA,46,NA,NA,150,45,1,180,1,Yes,100
2011,1,1,1,1,NA,70,NA,NA,NA,NA,1,1125,0,No,NA
2017,2,1,1,1,NA,125,NA,NA,NA,NA,1,7,18,No,100
2012,4,2.5,2,2,NA,250,NA,NA,0,50,1,3,0,No,NA
2017,6,2.5,2,2,NA,210,NA,NA,0,75,1,5,0,No,NA
2017,2,1,1,2,NA,55,NA,NA,150,35,1,1125,36,No,95
2017,6,1,1,2,NA,55,NA,NA,150,35,1,1125,17,No,95
2017,3,1,0,1,NA,60,NA,NA,150,35,1,1125,47,No,95
2014,4,1,2,2,NA,275,NA,NA,125,95,2,15,0,No,100
2015,3,1,1,1,NA,146,NA,NA,0,95,3,1125,18,No,100
2017,1,1,0,1,NA,100,NA,NA,NA,NA,1,2,0,No,NA
2017,2,0,1,1,NA,130,NA,NA,500,75,1,3,0,No,100
2017,2,1,1,1,NA,65,NA,NA,NA,NA,2,1125,0,No,NA
2014,5,1,2,3,NA,179,NA,NA,0,50,1,1125,24,Yes,100
2015,4,1,1,1,NA,97,NA,NA,500,75,1,1125,1,No,70
2017,2,1,1,2,NA,85,NA,NA,100,52,1,1125,7,Yes,100
2016,2,1,1,1,NA,140,NA,NA,0,NA,1,7,4,No,100
2014,2,1,1,1,NA,55,NA,NA,1000,25,1,1125,49,Yes,100
2014,2,1,1,1,NA,60,NA,NA,1000,25,1,1125,0,Yes,100
2014,2,1,1,1,NA,51,NA,NA,1000,25,1,1125,33,Yes,100
2014,2,1,0,1,NA,86,NA,NA,NA,NA,2,1125,0,No,100
2016,1,2,1,1,NA,45,NA,NA,NA,NA,5,1125,4,No,80
2016,5,2,2,2,NA,189,NA,NA,0,100,10,1125,0,Yes,88
2015,2,1,0,1,NA,140,NA,NA,0,95,2,45,30,Yes,100
2013,5,2,2,3,NA,429,NA,NA,0,119,1,1125,45,Yes,100
2013,5,2,2,3,NA,429,NA,NA,0,119,1,1125,38,Yes,100
2016,2,2,1,2,NA,75,NA,NA,0,10,1,7,50,Yes,100
2016,2,2,1,1,NA,75,NA,NA,0,10,1,7,49,Yes,100
2013,5,2,2,3,NA,429,NA,NA,0,119,1,1125,34,Yes,100
2013,5,2,2,3,NA,429,NA,NA,0,119,1,1125,56,Yes,100
2016,3,1,0,1,NA,185,NA,NA,0,85,1,10,0,No,100
2013,5,2,2,3,NA,429,NA,NA,0,119,1,1125,41,Yes,100
2015,2,2.5,1,1,NA,60,NA,NA,0,40,2,1125,0,No,NA
2017,1,1,1,1,NA,60,NA,NA,NA,60,25,31,0,No,NA
2016,2,2,1,2,NA,58,NA,NA,180,50,1,180,2,Yes,100
2014,2,1,1,1,NA,130,NA,NA,NA,NA,3,6,0,No,NA
2014,2,1,0,1,NA,49,NA,NA,0,60,1,1125,65,Yes,100
2017,1,1,1,1,NA,33,NA,NA,NA,NA,20,58,0,No,NA
2017,2,1,1,1,NA,50,NA,NA,NA,30,1,1125,34,No,100
2014,4,1,1,2,NA,125,NA,NA,200,100,2,7,0,No,NA
2012,3,1,0,1,NA,189,NA,NA,200,50,2,1125,10,Yes,99
2012,2,1,1,1,NA,55,NA,NA,NA,NA,1,1125,0,No,NA
2014,6,1,3,4,NA,189,NA,NA,0,50,1,1125,11,Yes,100
2014,1,1,1,1,NA,110,NA,NA,0,85,2,1125,90,Yes,100
2009,2,1,1,1,NA,44,NA,NA,0,10,1,3,0,No,NA
2009,2,1,1,1,NA,49,NA,NA,0,10,1,3,0,No,NA
2013,5,2,2,3,NA,429,NA,NA,0,119,1,1125,38,Yes,100
2016,2,2,1,1,NA,52,NA,NA,120,45,1,180,1,Yes,100
2013,3,1,1,2,NA,429,NA,NA,0,119,1,1125,82,Yes,100
2013,3,1,1,2,NA,429,NA,NA,0,119,1,1125,51,Yes,100
2013,3,1,1,2,NA,429,NA,NA,0,119,1,1125,48,Yes,100
2013,3,1,1,2,NA,429,NA,NA,0,119,1,1125,35,Yes,100
2015,2,1,1,1,NA,45,NA,NA,NA,10,1,14,0,No,NA
2010,2,1,0,1,NA,99,NA,NA,250,40,1,21,68,Yes,100
2014,2,1,1,1,NA,140,NA,NA,NA,55,1,7,0,No,100
2016,2,1,1,1,NA,60,NA,NA,NA,5,1,1125,0,No,NA
2016,5,1,2,2,NA,85,NA,NA,NA,NA,2,1125,0,No,NA
2017,2,1,1,2,NA,100,NA,NA,100,50,1,15,3,Yes,100
2017,2,1,1,1,NA,85,NA,NA,0,60,7,97,1,No,100
2016,1,1,0,1,NA,68,NA,NA,0,19,1,4,62,No,83
2016,8,1,3,3,NA,139,NA,NA,0,89,2,1125,61,Yes,100
2017,2,1,1,1,NA,55,NA,NA,NA,30,1,1125,60,Yes,100
2016,4,2,2,2,NA,180,NA,NA,0,20,7,14,0,No,100
2014,2,1,1,1,NA,115,NA,NA,0,55,4,6,0,No,NA
2015,1,1,1,1,NA,79,NA,NA,250,15,8,29,0,No,NA
2015,3,2,1,1,NA,70,NA,NA,150,35,1,1125,44,Yes,100
2014,2,1,1,1,NA,50,NA,NA,NA,NA,1,1125,0,No,NA
2016,10,2,4,7,NA,379,NA,NA,100,140,1,60,48,Yes,100
2016,3,1,1,1,NA,49,NA,NA,100,35,2,1125,0,Yes,100
2016,1,1,1,1,NA,85,NA,NA,NA,15,2,1125,0,No,NA
2016,5,1.5,2,2,NA,99,NA,NA,0,175,2,300,37,Yes,100
2016,3,1,1,1,NA,75,NA,NA,100,35,1,1125,0,Yes,100
2016,3,1,1,1,NA,75,NA,NA,100,35,1,1125,0,Yes,100
2013,2,1,1,1,NA,175,NA,NA,0,30,2,1125,2,No,100
2011,4,1,1,2,NA,195,NA,NA,500,105,2,1125,29,Yes,99
2011,4,1,1,2,NA,195,NA,NA,500,105,2,1125,32,Yes,99
2011,4,1,1,2,NA,195,NA,NA,500,105,2,1125,23,Yes,99
2017,3,1,1,3,NA,95,NA,NA,100,70,2,60,4,No,80
2017,1,1,1,1,NA,100,NA,NA,NA,30,1,365,24,Yes,100
2011,4,1,1,2,NA,237,NA,NA,500,105,2,1125,26,Yes,99
2011,4,1,1,2,NA,165,NA,NA,500,105,2,1125,38,Yes,99
2011,4,1,1,2,NA,195,NA,NA,500,105,2,1125,17,Yes,99
2017,3,1,1,2,NA,139,NA,NA,0,50,1,1125,19,No,98
2013,3,1,1,2,NA,217,NA,NA,NA,100,3,1125,84,Yes,97
2017,2,1,1,1,NA,600,NA,NA,NA,NA,1,8,0,No,NA
2015,9,2,3,4,NA,300,NA,NA,100,NA,1,1125,0,Yes,NA
2017,2,1,1,1,NA,59,NA,NA,250,30,2,365,60,Yes,100
2011,4,1,1,2,NA,165,NA,NA,500,105,2,1125,37,Yes,99
2011,4,1,1,2,NA,165,NA,NA,500,105,2,1125,40,Yes,99
2014,2,1,1,1,NA,98,NA,NA,150,25,2,5,0,No,NA
2015,3,1,1,2,NA,180,NA,NA,200,50,3,15,0,No,NA
2015,1,3,1,1,NA,45,NA,NA,0,70,10,1125,76,Yes,100
2017,8,3.5,4,4,NA,450,NA,NA,5000,300,3,62,3,No,100
2017,2,1,1,1,NA,95,NA,NA,0,20,1,90,56,Yes,100
2017,2,1,1,1,NA,95,NA,NA,0,20,1,90,32,Yes,100
2017,3,1,1,2,NA,155,NA,NA,0,25,1,90,53,Yes,100
2017,1,1,2,1,NA,68,NA,NA,0,10,1,7,0,No,100
2016,5,2,2,3,NA,170,NA,NA,0,100,3,1125,6,Yes,88
2014,5,1,2,3,NA,175,NA,NA,250,90,2,1125,45,No,100
2016,1,1,1,1,NA,30,NA,NA,NA,NA,1,60,0,No,NA
2016,4,1,2,3,NA,179,NA,NA,100,80,1,1125,52,Yes,100
2016,5,1,2,4,NA,179,NA,NA,100,80,1,1125,49,Yes,100
2016,6,2,2,3,NA,250,NA,NA,0,60,2,1125,2,No,100
2013,12,2,3,7,NA,249,NA,NA,300,125,1,1125,34,Yes,100
2015,2,1.5,1,1,NA,65,NA,NA,NA,NA,1,14,18,No,100
2017,2,1,1,1,NA,75,NA,NA,0,10,1,1125,14,No,100
2016,10,1,3,3,NA,249,NA,NA,300,99,1,1125,0,Yes,100
2016,1,1,1,1,NA,170,NA,NA,NA,NA,1,1125,60,No,100
2014,4,2,1,2,NA,63,NA,NA,150,45,2,1125,80,Yes,98
2016,3,1,1,2,NA,135,NA,NA,350,75,1,7,3,No,100
2011,4,1,1,2,NA,167,NA,NA,500,105,2,1125,28,Yes,100
2012,4,1,2,3,NA,49,NA,NA,0,20,2,1124,64,No,100
2013,16,3,6,12,NA,300,NA,NA,500,175,1,1125,36,Yes,100
2015,4,1,1,2,NA,158,NA,NA,250,100,2,1125,13,No,100
2014,5,2,1,2,NA,92,NA,NA,150,45,2,1125,81,Yes,98
2017,6,1,3,4,NA,285,NA,NA,250,100,2,30,58,Yes,100
2014,3,2,2,2,NA,159,NA,NA,NA,NA,5,8,0,No,NA
2017,5,1,2,2,NA,250,NA,NA,100,89,2,1125,0,Yes,100
2016,2,1.5,1,1,NA,120,NA,NA,0,40,1,1125,11,No,100
2015,3,1,0,1,NA,249,NA,NA,0,100,2,1125,90,Yes,97
2015,2,1,1,1,NA,170,NA,NA,0,25,3,21,47,Yes,100
2015,3,1,0,1,NA,125,NA,NA,0,100,24,1125,90,Yes,97
2015,1,1,1,2,NA,131,NA,NA,0,100,3,1125,85,Yes,97
2015,3,1,1,2,NA,127,NA,NA,0,100,3,1125,85,Yes,97
2015,5,2,2,3,NA,171,NA,NA,0,100,3,1125,89,Yes,97
2013,16,2,5,10,NA,250,NA,NA,500,140,1,1125,38,Yes,100
2015,5,2,2,3,NA,174,NA,NA,0,100,3,1125,69,Yes,97
2015,5,2,2,3,NA,169,NA,NA,0,100,3,1125,89,Yes,97
2014,4,1,2,1,NA,180,NA,NA,200,40,2,1125,0,No,NA
2013,2,1,0,2,NA,194,NA,NA,NA,100,7,1125,90,Yes,97
2013,3,1,1,2,NA,207,NA,NA,NA,100,7,1125,90,Yes,97
2013,4,1.5,2,3,NA,285,NA,NA,NA,100,7,1125,85,Yes,97
2017,2,1,0,1,NA,150,NA,NA,200,45,1,365,0,No,100
2017,6,1,2,4,NA,225,NA,NA,NA,65,2,14,55,No,100
2017,2,1,1,1,NA,109,NA,NA,NA,35,1,10,7,No,100
2015,2,1,1,1,NA,170,NA,NA,0,25,3,1125,12,Yes,100
2013,3,2,1,2,NA,88,NA,NA,NA,15,1,27,19,No,100
2013,10,1,3,10,NA,250,NA,NA,NA,120,1,1125,37,No,100
2017,1,1,1,1,NA,50,NA,NA,NA,30,5,1125,45,Yes,100
2017,2,1,1,1,NA,85,NA,NA,100,50,1,30,4,Yes,100
2015,6,1,2,3,NA,130,NA,NA,200,100,2,90,24,Yes,100
2017,2,1,1,1,NA,69,NA,NA,250,45,2,365,46,Yes,100
2017,2,1,1,1,NA,79,NA,NA,NA,NA,1,1125,9,No,100
2012,5,1,2,3,NA,156,NA,NA,500,85,1,1125,70,Yes,100
2017,3,1,1,2,NA,85,NA,NA,100,50,1,30,10,Yes,100
2017,2,1,1,1,NA,75,NA,NA,NA,NA,20,62,0,No,60
2017,2,1,1,2,NA,95,NA,NA,100,52,1,30,6,Yes,100
2011,4,1,1,1,NA,117,NA,NA,0,35,1,1125,27,Yes,99
2017,1,1,1,1,NA,30,NA,NA,NA,NA,1,3,0,No,NA
2015,1,1,1,1,NA,55,NA,NA,0,0,7,60,0,No,NA
2017,2,1,1,1,NA,70,NA,NA,NA,35,2,2,89,No,0
2014,1,1,0,1,NA,95,NA,NA,100,25,2,1125,0,No,NA
2014,2,1.5,1,1,NA,175,NA,NA,0,30,2,10,5,No,40
2013,1,2.5,1,1,NA,53,NA,NA,0,25,5,360,48,No,100
2014,4,1,2,2,NA,179,NA,NA,400,107,2,1124,67,Yes,99
2017,3,1,1,1,NA,86,NA,NA,0,40,2,120,15,No,100
2017,2,1,1,1,NA,96,NA,NA,NA,NA,1,1125,0,No,NA
2013,5,1,2,3,NA,429,NA,NA,0,119,1,1125,64,Yes,100
2013,5,1,2,3,NA,429,NA,NA,0,119,1,1125,68,Yes,100
2011,4,1,1,2,NA,97,NA,NA,0,35,1,1125,38,Yes,99
2017,3,1,1,1,NA,152,NA,NA,NA,NA,1,1125,0,No,NA
2011,4,1,1,1,NA,201,NA,NA,500,105,2,1125,28,Yes,99
2014,2,1,1,1,NA,239,NA,NA,NA,NA,30,1125,90,Yes,99
2011,4,1,1,1,NA,201,NA,NA,500,105,2,1125,18,Yes,99
2015,5,2,2,3,NA,299,NA,NA,0,100,3,1125,47,Yes,97
2011,4,1,1,1,NA,201,NA,NA,500,105,2,1125,11,Yes,99
2017,2,1,1,1,NA,58,NA,NA,NA,NA,1,30,11,No,100
2017,10,1,3,3,NA,239,NA,NA,NA,100,1,90,69,Yes,100
2016,2,1,1,2,NA,57,NA,NA,NA,10,1,4,0,No,NA
2017,4,1,1,2,NA,140,NA,NA,100,50,3,10,0,No,90
2011,4,1,1,1,NA,201,NA,NA,500,105,2,1125,23,Yes,99
2011,2,1,0,1,NA,180,NA,NA,500,105,2,1125,36,Yes,99
2011,2,1,0,1,NA,180,NA,NA,500,105,2,1125,26,Yes,99
2017,6,2,3,3,NA,375,NA,NA,300,100,2,14,31,No,100
2011,2,1,0,1,NA,180,NA,NA,500,105,2,1124,0,Yes,99
2011,2,1,0,1,NA,180,NA,NA,500,105,2,1125,41,Yes,99
2014,7,1,3,5,NA,225,NA,NA,0,150,4,90,5,No,100
2010,9,3.5,4,5,NA,389,NA,NA,600,160,3,12,0,No,100
2016,4,1,1,1,NA,99,NA,NA,0,0,1,1125,39,No,100
2015,9,1,2,5,NA,225,NA,NA,0,95,2,1124,51,Yes,100
2015,8,1,2,4,NA,229,NA,NA,0,95,2,1124,60,Yes,100
2010,1,0.5,1,1,NA,31,NA,NA,NA,NA,30,1125,49,No,80
2015,1,1,1,1,NA,45,NA,NA,NA,NA,1,3,0,No,NA
2017,4,1,2,3,NA,140,NA,NA,300,75,2,30,2,No,NA
2016,2,1,1,1,NA,75,NA,NA,NA,NA,1,1125,0,No,NA
2017,2,1,0,1,NA,134,NA,NA,0,0,1,30,0,No,NA
2013,16,3,6,13,NA,275,NA,NA,1000,150,1,1125,28,Yes,100
2015,2,1,1,1,NA,249,NA,NA,200,65,2,10,31,No,100
2014,2,1,1,1,NA,150,NA,NA,500,60,3,1125,0,No,NA
2015,4,1,0,2,NA,125,NA,NA,0,65,2,1124,50,Yes,100
2016,4,1,1,3,NA,99,NA,NA,100,60,1,1125,2,Yes,99
2017,5,1,2,2,NA,123,NA,NA,100,60,3,1125,0,Yes,100
2011,3,1,1,1,NA,100,NA,NA,300,60,2,1125,66,No,96
2017,1,1,0,1,NA,37,NA,NA,0,15,5,1125,0,No,NA
2016,4,1,1,2,NA,100,NA,NA,100,30,2,31,49,Yes,100
2017,1,1,1,1,NA,36,NA,NA,NA,NA,1,1125,0,No,NA
2013,1,2.5,1,1,NA,49,NA,NA,0,25,2,1125,70,No,100
2017,5,1,2,2,NA,104,NA,NA,NA,35,1,1125,62,No,100
2017,2,1,1,1,NA,595,NA,NA,NA,NA,1,1125,90,No,0
2015,7,2,3,1,NA,201,NA,NA,0,100,14,1125,90,Yes,97
2015,6,2,3,4,NA,208,NA,NA,0,100,8,1125,90,Yes,97
2013,3,1,1,2,NA,217,NA,NA,NA,100,3,1125,84,Yes,97
2015,1,1,1,1,NA,59,NA,NA,100,20,1,1125,0,Yes,100
2015,2,1,1,2,NA,58,NA,NA,100,19,1,1125,0,Yes,100
2015,4,1,1,1,NA,230,NA,NA,0,70,1,1125,61,Yes,80
2015,2,1,1,1,NA,59,NA,NA,100,20,1,1125,4,Yes,100
2009,4,2,2,2,NA,459,NA,NA,0,150,4,1125,89,Yes,76
2016,2,1,1,1,NA,79,NA,NA,200,45,6,333,8,Yes,100
2017,2,2,1,2,NA,48,NA,NA,100,27,1,30,56,Yes,100
2013,6,1,2,3,NA,176,NA,NA,0,50,2,1125,36,No,100
2015,4,1,0,2,NA,160,NA,NA,0,20,1,1124,50,No,100
2014,4,1,2,2,NA,699,NA,NA,400,108,2,1124,74,Yes,99
2014,8,2,4,4,NA,299,NA,NA,400,193,2,1124,77,Yes,99
2017,3,1,3,2,NA,40,NA,NA,NA,NA,5,5,0,No,NA
2014,6,2,3,3,NA,249,NA,NA,400,143,2,1124,75,Yes,99
2016,3,1,0,1,NA,209,NA,NA,0,100,3,1125,90,Yes,88
2016,3,1,1,2,NA,249,NA,NA,0,100,1,1125,85,Yes,88
2016,5,2,2,3,NA,299,NA,NA,0,100,1,1125,89,Yes,88
2016,3,1,0,1,NA,127,NA,NA,0,100,2,1125,90,Yes,88
2016,3,1,0,2,NA,209,NA,NA,0,100,2,1125,90,Yes,88
2016,3,1,1,1,NA,249,NA,NA,0,100,1,1125,85,Yes,88
2016,6,1,2,4,NA,200,NA,NA,0,25,2,21,10,No,100
2016,5,2,2,1,NA,299,NA,NA,0,100,1,1125,89,Yes,88
2014,4,1,2,2,NA,189,NA,NA,0,75,2,1125,0,No,100
2016,4,1,1,2,NA,95,NA,NA,NA,NA,2,9,0,No,100
2017,1,1,1,1,NA,120,NA,NA,NA,NA,300,301,89,No,NA
2016,3,1,0,2,NA,100,NA,NA,150,50,1,1125,60,Yes,74
2014,6,2,3,3,NA,269,NA,NA,400,145,2,1124,74,Yes,99
2014,5,1,2,2,NA,269,NA,NA,400,120,2,1124,68,Yes,99
2014,2,1,1,1,NA,60,NA,NA,1500,25,1,1125,57,Yes,100
2017,4,3,2,3,NA,220,NA,NA,100,35,2,1125,0,No,NA
2014,8,2,3,3,NA,368,NA,NA,500,125,2,25,0,No,NA
2017,2,1,1,1,NA,180,NA,NA,300,0,2,7,0,No,NA
2015,2,1,1,1,NA,20,NA,NA,0,15,5,1125,2,No,100
2014,2,1,0,1,NA,49,NA,NA,0,60,1,1125,71,Yes,100
2014,2,1,1,1,NA,169,NA,NA,400,76,2,1124,65,Yes,99
2013,1,1,1,1,NA,55,NA,NA,0,15,1,90,53,No,100
2014,6,2,3,1,NA,299,NA,NA,400,147,2,1124,65,Yes,99
2015,2,1,1,1,NA,160,NA,NA,100,30,3,1125,0,No,100
2015,4,1,1,2,NA,189,NA,NA,0,100,2,1125,17,Yes,92
2012,8,2.5,4,4,NA,200,NA,NA,0,150,2,10,0,No,NA
2017,4,1,1,2,NA,175,NA,NA,200,75,1,1124,64,Yes,100
2014,4,1,2,2,NA,699,NA,NA,400,108,2,1124,79,Yes,99
2016,4,1,1,2,NA,120,NA,NA,NA,70,2,366,22,Yes,96
2014,2,1,1,1,NA,102,NA,NA,0,20,2,4,7,No,100
2016,4,1,1,2,NA,120,NA,NA,NA,70,2,366,18,Yes,96
2015,2,1,1,1,NA,60,NA,NA,NA,25,2,38,39,No,100
2016,3,1,1,2,NA,150,NA,NA,175,65,1,1125,20,Yes,97
2014,1,1,1,1,NA,69,NA,NA,100,6,1,3,0,No,NA
2014,8,2,4,4,NA,259,NA,NA,400,192,2,1124,61,Yes,99
2017,1,1,1,1,NA,50,NA,NA,0,40,1,15,70,No,93
2017,4,1,1,2,NA,229,NA,NA,500,85,1,1125,71,Yes,100
2015,4,1,1,2,NA,120,NA,NA,0,100,2,1125,0,Yes,92
2017,16,3,4,9,NA,392,NA,NA,1000,199,1,1125,36,Yes,100
2014,2,1,0,1,NA,109,NA,NA,NA,NA,1,1125,0,No,100
2015,5,1,2,3,NA,175,NA,NA,0,80,2,1125,24,No,100
2016,4,2,2,2,NA,230,NA,NA,0,70,1,1125,62,Yes,100
2012,7,1.5,2,5,NA,180,NA,NA,150,85,2,1125,15,No,100
2017,4,1,2,2,NA,191,NA,NA,NA,25,2,1125,0,No,NA
2016,2,1,0,1,NA,185,NA,NA,400,0,3,1125,29,No,100
2016,4,1,2,2,NA,250,NA,NA,100,60,2,7,15,No,100
2016,2,1,1,1,NA,115,NA,NA,0,35,1,1125,65,Yes,100
2017,2,1,2,1,NA,64,NA,NA,NA,NA,1,7,0,No,NA
2015,3,1,1,1,NA,140,NA,NA,0,100,2,1125,85,Yes,97
2015,5,2,2,3,NA,175,NA,NA,0,100,2,1125,87,Yes,97
2016,3,1,1,2,NA,150,NA,NA,0,100,2,1125,85,Yes,88
2016,5,2,2,3,NA,299,NA,NA,0,100,1,1125,83,Yes,88
2016,3,1,0,2,NA,160,NA,NA,100,80,1,1125,35,Yes,99
2017,2,1,1,1,NA,92,NA,NA,0,25,1,90,18,No,100
2017,2,1,1,1,NA,70,NA,NA,NA,0,2,1125,74,No,100
2015,7,2,3,1,NA,205,NA,NA,0,100,3,1125,0,Yes,97
2016,2,1,1,1,NA,115,NA,NA,0,35,1,1125,66,Yes,100
2016,7,2,3,1,NA,220,NA,NA,0,100,11,1125,30,Yes,88
2015,6,1,2,3,NA,270,NA,NA,150,85,2,1125,3,Yes,100
2016,8,1,3,3,NA,139,NA,NA,0,89,2,1125,52,Yes,100
2016,8,1,3,2,NA,139,NA,NA,0,89,2,1125,52,Yes,100
2017,6,2.5,3,4,NA,400,NA,NA,1000,150,4,14,82,No,0
2015,4,1,2,3,NA,135,NA,NA,0,15,1,365,19,No,100
2009,2,1,1,1,NA,264,NA,NA,0,150,30,1125,90,Yes,76
2016,2,1,1,1,NA,99,NA,NA,100,10,2,6,67,No,100
2014,14,2.5,4,11,NA,430,NA,NA,1000,140,2,365,39,Yes,100
2015,3,1,0,1,NA,111,NA,NA,0,100,3,1125,90,Yes,97
2015,3,1,1,2,NA,133,NA,NA,0,100,3,1125,85,Yes,97
2015,3,1,1,1,NA,135,NA,NA,0,100,2,1125,85,Yes,97
2017,2,1,1,1,NA,100,NA,NA,NA,NA,1,1125,0,No,NA
2015,2,1,1,1,NA,170,NA,NA,500,20,2,1125,0,No,NA
2015,3,1,1,2,NA,70,NA,NA,0,45,3,540,5,No,100
2016,4,1,2,3,NA,76,NA,NA,100,30,1,1125,2,No,100
2014,3,1,2,2,NA,150,NA,NA,0,40,1,1125,46,Yes,100
2014,6,1,1,3,NA,145,NA,NA,500,70,2,28,1,Yes,100
2016,1,1,1,1,NA,98,NA,NA,200,50,3,1125,0,No,NA
2017,4,1,1,2,NA,159,NA,NA,100,50,1,1125,0,No,NA
2014,1,1,0,1,NA,38,NA,NA,0,50,1,40,0,No,NA
2014,6,2,3,3,NA,179,NA,NA,400,144,2,1124,75,Yes,99
2012,4,1,2,2,NA,129,NA,NA,0,99,1,1125,40,Yes,99
2014,4,1,2,2,NA,699,NA,NA,400,108,2,1124,80,Yes,99
2014,4,1,2,2,NA,699,NA,NA,400,110,2,1124,84,Yes,99
2016,3,1,0,1,NA,209,NA,NA,0,100,2,1125,90,Yes,88
2014,4,1,2,2,NA,179,NA,NA,400,109,2,1124,67,Yes,99
2016,3,1,1,1,NA,249,NA,NA,0,100,3,1125,85,Yes,88
2016,3,1,1,2,NA,249,NA,NA,0,100,3,1125,61,Yes,88
2016,1,1,1,1,NA,75,NA,NA,NA,NA,3,14,34,No,100
2017,3,1,1,1,NA,170,NA,NA,NA,NA,5,6,0,No,NA
2009,2,1,1,1,NA,379,NA,NA,NA,NA,4,1125,89,Yes,76
2012,6,1,3,3,NA,149,NA,NA,0,99,1,1125,58,Yes,99
